515,0.38,0.46,0.57,0.29,0.39,0.10,0.14,0.76,0.77,2.02,1.26,0.43,0.27,0.26,0.58,2.14,0.46,0.01,0.20,1.13,0.18,0.51,0.30,0.45,0.18,0.17,0.16,0.72,0.46,0.13,1.50,0.70,1.93,0.86,0.43,0.20,0.58,0.45,1.73,1.53,0.27,0.86,0.46,0.58,0.48,0.31,0.43,0.12,0.08,0.34,0.06,0.06,0.14,0.10,0.15,0.04,0.08,0.16,0.00,1.11,0.00,0.12,0.04,0.09,0.14,0.03,0.00,1.58,0.14,2.42,0.55,0.15,0.00,0.02,0.00,0.00,0.09,0.00,2.13,0.44,1.03,0.03,0.50,1.32,0.34,0.72,0.10,0.26,0.28,0.09,1.03,0.16,0.53,0.17,1.45,0.12,0.23,0.77,0.68,0.77,0.57,0.36,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.56,0.22,0.00,0.00,0.07,0.00,0.00,0.00,0.18,0.32,0.61,0.71,0.35,0.52,0.09,0.20,0.72,0.09,0.34,0.00,0.00,0.00,2.86,0.12,0.00,0.00,0.00,0.00,0.63,0.53,0.07,0.43,0.00,0.00,0.01,0.00,0.80,0.38,1.19,1.16,0.17,0.00,0.04,0.25,1.11,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
516,0.67,1.40,1.12,0.73,0.36,0.09,0.23,0.65,0.65,1.76,1.87,1.03,0.36,0.55,1.13,1.81,0.38,0.02,0.35,2.19,0.48,1.09,1.82,1.07,0.42,0.98,0.96,1.77,1.08,0.33,4.45,1.56,5.83,2.57,1.28,0.40,1.70,0.52,5.48,4.37,0.55,0.76,0.40,0.43,0.89,0.84,0.99,0.04,0.08,0.45,0.07,0.05,0.13,0.23,0.33,0.27,0.09,0.35,0.00,2.46,0.00,0.32,0.08,0.20,0.31,0.07,0.00,3.40,0.37,5.21,1.59,0.43,0.00,0.05,0.00,0.00,0.18,0.00,4.54,0.97,2.23,0.07,1.06,2.02,0.94,1.52,0.22,0.56,0.61,0.25,2.24,0.31,1.51,0.46,4.27,0.27,0.70,2.27,1.97,1.66,1.71,0.77,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.15,0.47,0.00,0.00,0.15,0.00,0.00,0.00,0.46,0.92,1.71,2.08,0.71,1.08,0.19,0.43,1.55,0.26,0.89,0.00,0.00,0.00,6.58,0.33,0.00,0.00,0.00,0.00,1.39,1.17,0.28,0.94,0.00,0.00,0.01,0.00,1.74,0.58,2.59,2.51,0.37,0.00,0.08,0.35,2.38,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
517,0.33,0.49,0.22,0.29,0.17,0.04,0.15,0.84,0.86,2.30,1.13,0.34,0.31,0.25,0.65,1.06,0.23,0.01,0.20,1.22,0.19,0.60,0.33,0.42,0.17,0.18,0.17,0.94,0.57,0.13,1.80,0.72,2.37,1.05,0.52,0.25,0.76,0.26,2.46,1.96,0.32,0.45,0.53,0.57,0.41,0.38,0.44,0.05,0.05,0.26,0.04,0.03,0.06,0.12,0.13,0.05,0.04,0.19,0.00,1.32,0.00,0.14,0.04,0.11,0.17,0.04,0.00,1.84,0.16,2.85,0.66,0.18,0.00,0.03,0.00,0.00,0.10,0.00,2.50,0.52,1.22,0.04,0.58,1.53,0.39,0.82,0.12,0.30,0.33,0.11,1.22,0.17,0.54,0.19,1.75,0.15,0.20,0.92,0.80,0.93,0.70,0.42,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.64,0.26,0.00,0.00,0.08,0.00,0.00,0.00,0.19,0.38,0.72,0.85,0.39,0.59,0.10,0.23,0.85,0.10,0.39,0.00,0.00,0.00,2.96,0.14,0.00,0.00,0.00,0.00,0.75,0.63,0.09,0.51,0.00,0.00,0.00,0.00,0.94,0.32,1.41,1.36,0.20,0.00,0.05,0.20,1.31,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
519,0.05,0.08,0.30,0.15,0.18,0.05,0.02,0.10,0.11,0.25,0.12,0.08,0.05,0.42,0.84,1.06,0.07,0.00,0.11,0.42,0.09,0.17,0.31,0.55,0.24,0.18,0.19,0.86,0.26,0.06,0.71,0.34,0.88,0.44,0.22,0.33,0.88,0.27,0.78,2.28,0.08,0.12,0.06,0.10,0.20,0.48,0.19,0.07,0.05,0.17,0.04,0.04,0.14,0.04,0.09,0.02,0.07,0.05,0.00,0.39,0.00,0.05,0.01,0.03,0.05,0.01,0.00,0.56,0.08,0.83,0.37,0.11,0.00,0.01,0.00,0.00,0.03,0.00,0.72,0.15,0.35,0.01,0.18,0.33,0.35,0.27,0.03,0.09,0.10,0.06,0.36,0.06,0.38,0.17,1.00,0.04,0.16,0.40,0.35,0.28,0.30,0.13,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.20,0.08,0.00,0.00,0.02,0.00,0.00,0.00,0.14,0.22,0.44,0.48,0.13,0.16,0.06,0.07,0.25,0.05,0.15,0.00,0.00,0.00,1.24,0.08,0.00,0.00,0.00,0.00,0.22,0.42,0.05,0.15,0.00,0.00,0.00,0.00,0.28,0.09,0.41,0.41,0.06,0.00,0.03,0.13,0.37,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
520,0.14,0.21,0.75,0.25,0.46,0.14,0.05,0.80,0.90,0.85,0.37,0.20,0.12,1.06,3.09,3.80,0.22,0.01,0.24,1.35,0.21,0.58,0.39,1.54,0.66,0.49,0.53,1.08,0.72,0.16,1.88,0.88,2.34,1.21,0.60,0.83,0.97,0.60,2.09,2.57,0.29,0.42,0.22,0.30,0.53,0.53,0.52,0.15,0.12,0.46,0.08,0.09,0.33,0.12,0.22,0.06,0.17,0.19,0.00,1.31,0.00,0.14,0.05,0.11,0.17,0.04,0.00,1.86,0.27,2.81,1.03,0.29,0.00,0.03,0.00,0.00,0.11,0.00,2.45,0.52,1.20,0.04,0.59,1.13,0.96,0.85,0.12,0.30,0.34,0.17,1.20,0.20,1.02,0.46,2.75,0.14,0.45,1.10,0.96,1.05,0.82,0.43,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.66,0.25,0.00,0.00,0.08,0.00,0.00,0.00,0.36,0.60,1.20,1.34,0.41,0.61,0.16,0.23,0.84,0.15,0.41,0.00,0.00,0.00,3.40,0.22,0.00,0.00,0.00,0.00,0.73,1.19,0.14,0.51,0.00,0.00,0.01,0.00,0.94,0.32,1.38,1.36,0.20,0.00,0.09,0.35,1.27,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
521,0.17,0.21,0.34,0.28,0.20,0.06,0.06,0.87,0.97,2.01,0.94,0.26,0.16,0.90,2.58,4.34,0.24,0.01,0.28,1.49,0.23,0.60,0.35,0.60,0.27,0.20,0.21,0.93,0.66,0.21,2.24,0.76,2.78,1.45,0.72,0.33,0.86,1.04,2.44,2.28,0.30,0.46,0.24,0.83,0.23,0.48,0.45,0.10,0.17,0.60,0.11,0.13,0.32,0.12,0.23,0.05,0.16,0.19,0.00,1.32,0.00,0.14,0.05,0.11,0.17,0.04,0.00,1.91,0.25,2.88,0.91,0.26,0.00,0.03,0.00,0.00,0.11,0.00,2.52,0.53,1.22,0.04,0.61,1.59,0.86,0.89,0.12,0.30,0.34,0.15,1.23,0.22,0.92,0.42,2.41,0.15,0.39,1.33,1.16,0.91,0.71,0.45,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.69,0.26,0.00,0.00,0.08,0.00,0.00,0.00,0.34,0.53,1.06,1.17,0.44,0.64,0.10,0.23,0.86,0.11,0.42,0.00,0.00,0.00,2.95,0.20,0.00,0.00,0.00,0.00,0.74,0.63,0.12,0.52,0.00,0.00,0.01,0.00,0.96,0.33,1.40,1.39,0.20,0.00,0.05,0.45,1.30,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
523,0.05,0.07,0.09,0.07,0.06,0.01,0.04,0.27,0.29,0.75,0.32,0.07,0.04,0.09,0.25,0.40,0.34,0.01,0.30,0.51,0.08,0.22,0.10,0.14,0.09,0.06,0.05,0.32,0.22,0.07,0.80,0.26,0.99,0.39,0.19,0.11,0.30,0.23,0.89,0.77,0.41,0.52,0.29,0.29,0.07,0.16,0.16,0.02,0.03,0.12,0.03,0.08,0.08,0.04,0.08,0.02,0.04,0.06,0.00,0.52,0.00,0.07,0.02,0.05,0.08,0.02,0.00,0.74,0.06,1.38,0.23,0.08,0.00,0.01,0.00,0.00,0.04,0.00,0.90,0.25,0.59,0.02,0.24,0.53,0.16,0.41,0.04,0.14,0.13,0.04,0.59,0.07,0.19,0.05,0.65,0.04,0.10,0.35,0.30,0.33,0.26,0.21,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.19,0.10,0.00,0.00,0.03,0.00,0.00,0.00,0.08,0.13,0.29,0.29,0.17,0.21,0.03,0.10,0.53,0.04,0.14,0.00,0.00,0.00,0.92,0.05,0.00,0.00,0.00,0.00,0.25,0.21,0.03,0.17,0.00,0.00,0.00,0.00,0.45,0.20,0.62,0.54,0.08,0.00,0.02,0.13,0.52,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
524,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.00,0.00,0.01,0.02,0.03,0.02,0.00,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.06,0.02,0.08,0.03,0.02,0.01,0.02,0.01,0.07,0.06,0.03,0.05,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.04,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.06,0.00,0.10,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.05,0.00,0.02,0.05,0.01,0.03,0.00,0.01,0.01,0.00,0.05,0.01,0.01,0.00,0.05,0.01,0.01,0.03,0.02,0.03,0.02,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.02,0.00,0.01,0.05,0.00,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.01,0.00,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
525,0.12,0.17,0.20,0.16,0.15,0.04,0.05,0.32,0.34,0.91,0.37,0.13,0.08,0.34,0.67,1.06,0.77,0.02,1.12,1.81,0.29,0.78,0.35,0.53,0.22,0.19,0.19,0.89,0.56,0.17,2.28,1.02,2.82,1.12,0.55,0.27,0.81,0.37,2.56,2.07,1.34,1.34,0.72,0.67,0.17,0.41,0.63,0.03,0.07,0.33,0.06,0.05,0.11,0.11,0.17,0.05,0.07,0.17,0.00,1.18,0.00,0.24,0.06,0.19,0.29,0.06,0.00,1.64,0.16,6.92,0.65,0.22,0.00,0.02,0.00,0.00,0.09,0.00,3.25,0.89,2.11,0.07,0.51,1.00,0.45,1.41,0.16,0.51,0.41,0.11,2.11,0.16,0.54,0.14,1.88,0.15,0.22,0.99,0.86,0.94,0.74,0.71,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.55,0.22,0.00,0.00,0.07,0.00,0.00,0.00,0.20,0.38,0.82,0.84,0.35,0.47,0.09,0.28,1.01,0.12,0.45,0.00,0.00,0.00,2.67,0.14,0.00,0.00,0.00,0.00,0.69,0.58,0.10,0.47,0.00,0.00,0.00,0.00,1.61,0.53,1.68,1.21,0.18,0.00,0.04,0.14,1.13,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
526,0.36,0.48,0.65,0.54,0.42,0.11,0.13,0.84,0.89,2.31,0.99,0.48,0.29,0.69,1.83,2.84,0.61,0.03,0.82,16.65,2.33,2.12,0.96,1.44,0.62,0.53,0.51,2.43,1.60,0.37,4.57,2.04,5.64,0.73,0.42,0.77,2.24,0.93,2.39,5.77,0.97,1.09,0.57,0.61,0.51,1.17,0.67,0.14,0.27,0.96,0.21,0.20,0.61,0.30,0.55,0.16,0.33,0.44,0.00,3.16,0.00,0.63,0.16,0.50,0.77,0.16,0.00,4.44,0.32,25.26,1.24,0.44,0.00,0.07,0.00,0.00,0.24,0.00,9.49,2.39,5.66,0.18,1.39,2.71,0.86,3.85,0.42,1.37,1.12,0.21,5.66,0.45,1.04,0.28,3.80,0.41,0.44,1.44,0.66,1.88,1.48,1.95,4.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,1.51,0.60,0.00,0.00,0.20,0.00,0.00,0.00,0.42,0.72,1.55,1.58,0.96,1.28,0.25,0.74,2.72,0.35,1.23,0.00,0.00,0.00,3.59,0.27,0.00,0.00,0.00,0.00,1.84,1.55,0.60,1.26,0.00,0.00,0.02,0.00,4.34,1.03,4.48,3.25,0.48,0.00,0.11,0.48,3.03,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
